z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.011898437500000001,1.7115859357783032,-1.2187245908972145e-146,747.9522980247807,0.5716598377013673,0.07528251564612326,0.0010093657919693852,0.00017403624509478022,0.13368589165713432,0.00046431269024472063,0.040509461568512241,0.00017024638876028978,4.5870547562189627e-05,0.74865829946459883
0.01190625,1.7759532854552373,-1.2187249207569148e-146,776.81546257176399,0.5509406882486938,0.072628051169355057,0.0011974746742576664,0.00021790418247201354,0.13235104216058366,0.00049397922856595151,0.043660089051079376,0.00016064275848385261,4.2418845506654469e-05,0.74924839792969578
0.011914062499999999,1.8400777957805536,-1.2187258013395374e-146,805.57683573846168,0.5317410581999484,0.069980854657046926,0.0014018194586331008,0.00027084149011116684,0.13095264524375044,0.00052437333985425169,0.046878503596877168,0.00015162251784334377,3.8916014439368468e-05,0.74980042368144428
0.011921875,1.9037703770947683,-1.218727445424288e-146,834.14841087916568,0.5139511132936668,0.067343658448221599,0.0016214262327304521,0.00033396126576130394,0.1294913786333026,0.00055685748963407397,0.050158365871803293,0.0001432118302789336,3.5435041374018363e-05,0.75031570518689361
0.011929687500000001,1.9668679042700157,-1.2187303270486863e-146,862.45349519319245,0.4974634516332415,0.064719274972946744,0.0018551315883533781,0.00040825981945936057,0.12796803684075067,0.00059282772555550552,0.053493385988815846,0.00013540478530742734,3.204020362858128e-05,0.75079563807518246
0.0119375,2.02922946063372,-1.2187343096553763e-146,890.42522441499852,0.4821755787055854,0.062110733118602844,0.0021015814817297038,0.00049455520678595493,0.12638380161168253,0.00063364586924008991,0.056877025531866209,0.00012817618031449085,2.8785982240243005e-05,0.7512416950175379
0.011945312499999999,2.0907327833307074,-1.2187368738779062e-146,918.00515721007093,0.4679913622719467,0.059521395630005053,0.0023592278608174184,0.00059343396397879803,0.12474049651334329,0.00068058348693801878,0.060302224065564979,0.0001214902061762972,2.5716385476836333e-05,0.75165543188769934
0.011953125,2.1512710722168862,-1.2187399896322363e-146,945.14201579544374,0.4548217520230911,0.056955047472931966,0.0026263274765641869,0.00070520997076996674,0.12304080443343185,0.00073477560416502401,0.063761175419897786,0.00011530618527285176,2.2864688368386432e-05,0.75203848874859813
0.011960937500000001,2.210750254645125,-1.2187438282946079e-146,971.79060883231637,0.44258498737846813,0.05441594775117712,0.0029009465836531269,0.00082989790758264891,0.12128843150801039,0.00079718290204992999,0.067245172358613187,0.00010958228188363243,2.0253584846253008e-05,0.75239258512218377
0.01196875,2.2690867480763304,-1.2187481820984304e-146,997.9109509677387,0.43120646240320304,0.051908840795983908,0.003180974225582184,0.00096720226046150763,0.11948820628374547,0.00086856190369929206,0.070744531170268979,0.00010427790482210051,1.789573049887661e-05,0.75271950972493773
0.011976562499999999,2.3261913424427054,-1.2187527620440335e-146,1023.4612502644566,0.4206209730566478,0.049438920112379992,0.0034641462478628357,0.0011165217661917818,0.1176461044286643,0.00094944323865830352,0.074248608783352599,9.9355453725851581e-05,1.5794626321567667e-05,0.75302110534284272
0.011984374999999999,2.3819752629939526,-1.2187577480645212e-146,1048.4006139145472,0.41077037116459647,0.047011749849150013,0.0037480806175825307,0.0012769696257834203,0.11576919903074116,0.0010401190121808394,0.077745906438308185,9.4780472594124977e-05,1.3945764505886453e-05,0.75329924918915381
0.011992187499999998,2.436375662876185,-1.2187632361104709e-146,1072.7002872666587,0.4015985199258165,0.044633163017818167,0.0040303205407242219,0.0014474065948611593,0.11386555038692336,0.0011406414797252426,0.081224228603493778,9.0520980261838804e-05,1.2337967707870551e-05,0.75355583042848429
0.011999999999999999,2.4893375426119659,-1.2187690549185573e-146,1096.3356970054754,0.3930543130859297,0.042309135413999104,0.0043083833058145506,0.0016264811840069919,0.11194404160123574,0.0012508320927057759,0.084670896128515499,8.6547911680538961e-05,1.0954853814189377e-05,0.75379272750822768
0.012011718749999997,2.5660142113629436,-1.2187700616871372e-146,1130.512863722837,0.38130921120979966,0.038935773198587487,0.0047131409135864463,0.0019084372031221647,0.10904575531929486,0.0014334824917370782,0.089758390662710838,8.107326089266297e-05,9.2623060268002266e-06,0.75411468464404163
0.012023437499999998,2.6392936641346187,-1.2187711248937872e-146,1163.1291080801057,0.370722237457183,0.035716977142106962,0.0050951629622211199,0.0022007065596273455,0.10616147378376298,0.0016345929958751725,0.094705129150233547,7.6108062964350595e-05,7.9452607316480631e-06,0.75440190408247698
0.012035156249999998,2.7090970420937874,-1.2187722536831892e-146,1194.1556850791508,0.36117010033800057,0.032669985357967377,0.0054474263042637253,0.0024975344532166691,0.10332387232930319,0.001851240760529648,0.099471539443695065,7.1594181749019988e-05,6.926889941079231e-06,0.75465988027933428
0.012046874999999999,2.7753868669697348,-1.2187734206084009e-146,1223.5839428229874,0.35254358972018834,0.029808990238991334,0.005764089143627903,0.0027932325832127469,0.10056377875456199,0.0020799566247247177,0.10402270352907179,6.748246319758012e-05,6.135524685026405e-06,0.75489363113792696
0.012058593749999999,2.838165655427312,-1.2187746053883019e-146,1251.4239681756078,0.3447455034262503,0.027144408686149594,0.0060407247087074433,0.0030824642502709368,0.097908660990487409,0.00231699309112934,0.10832987993015494,6.3731841954086464e-05,5.5098313830864704e-06,0.75510762666976317
0.012070312499999998,2.8974732692181404,-1.218775814931205e-146,1277.7027149099179,0.33768899858036155,0.024682479883998302,0.0062744371971440588,0.003360461911966115,0.095381523606515833,0.0025585687023359622,0.11237146628658951,6.0307514786346387e-05,5.0014130448482099e-06,0.75530575348361906
0.012082031249999996,2.9533830347614574,-1.2187770549888933e-146,1302.4616872500867,0.3312962912045071,0.022425196116198084,0.0064638601637401205,0.0036231742647811205,0.093000262173349918,0.0028010711748668016,0.11613337075723763,5.7179322459908367e-05,4.5750002561412998e-06,0.7554913110271102
0.012093749999999997,3.0059968849249414,-1.2187783115894094e-146,1325.7543252115906,0.32549762451075903,0.020370528839674867,0.0066090526157498528,0.0038673467782182978,0.09077745952008176,0.0030412097564655456,0.11960884165996072,5.4320551214645117e-05,4.2068042532664607e-06,0.75566703347438102
0.012105468749999997,3.0554398892119563,-1.218779534904363e-146,1347.6432659340164,0.3202304350145948,0.018512883817685146,0.006711317848540203,0.0040905440413770552,0.088720560346225066,0.0032761148134963108,0.12279785970223331,5.1707118777582115e-05,3.8818652572020941e-06,0.75583513044640815
0.012117187499999998,3.1018545672090463,-1.2187807691469793e-146,1368.1976496395125,0.3154386588263667,0.016843706570451169,0.0067729740761534145,0.0042911245384432322,0.086832333822824112,0.0035033885064537978,0.12570622423002326,4.9317046033450762e-05,3.5912293529964794e-06,0.75599733998026453
0.012128906249999998,3.1453953477286647,-1.2187820189117849e-146,1387.4906120821888,0.31107213439068737,0.015352160486067232,0.0067971050406364043,0.0044681789796455354,0.08511152621616086,0.0037211139162595533,0.12834446771277888,4.7130119886756309e-05,3.3295514663936846e-06,0.75615498797709835
0.012140624999999997,3.1862234672650107,-1.2187832767052174e-146,1405.5970685370564,0.30708607045694253,0.014025810591655479,0.0067873145639040797,0.004621442517964377,0.083553612801450169,0.0039278310236429198,0.13072671796678165,4.512767700993086e-05,3.0933892178720777e-06,0.75630904946837363
0.012152343749999996,3.2245025192103154,-1.2187845399631742e-146,1422.5918570237982,0.3034405581102056,0.012851261760154121,0.0067475031350049423,0.0047511894006820286,0.082151575138834587,0.0041224866735367601,0.13286960304233403,4.3292435600662947e-05,2.8801718771889077e-06,0.75646020824197568
0.012164062499999996,3.260394791230973,-1.2187858096060811e-146,1438.548278958943,0.30010011260865316,0.011814717157546404,0.006681678590252987,0.0048581159657564519,0.080896651589657739,0.0043043621864796208,0.13479126614585057,4.1608156283617787e-05,2.6876776011508448e-06,0.75660891253057139
0.012187499999999997,3.3255368683263526,-1.2187883809562603e-146,1467.577218402457,0.29422161975902245,0.010112659444737862,0.006484052397523362,0.0050067460621043818,0.078796674759511895,0.0046285629269220835,0.13803061194838973,3.8639905040683693e-05,2.3583280597343617e-06,0.7568996942277102
0.012210937499999998,3.3833566195486742,-1.2187913620932326e-146,1493.4233393997474,0.2891935299819081,0.0087990485441486899,0.0062272197039713543,0.0050822805121730841,0.077133184887198836,0.0049031493113769154,0.14063556410140934,3.609468080892563e-05,2.0873369977717632e-06,0.75718137092191506
0.012234374999999997,3.4348952262136963,-1.2187943755908801e-146,1516.5390512423605,0.2848543491441495,0.0077860465588674597,0.0059346599131223886,0.0050975246099422417,0.075824248831291213,0.0051315471584229286,0.14273606275468992,3.389059354819554e-05,1.8633037807134133e-06,0.75745415627633506
0.012257812499999996,3.4810521806786787,-1.2187974166207092e-146,1537.311826079766,0.2810773275720452,0.0070013072838154972,0.0056245614569555612,0.0050651687067224628,0.074796865499044032,0.0053182956632287955,0.14444245881831422,3.1961164612567326e-05,1.6767097735776491e-06,0.75771770469753341
0.012281249999999997,3.5225899946966823,-1.2188004896553846e-146,1556.0683591777592,0.27776290899117145,0.0063875775002341937,0.0053101934070798875,0.004996733721542068,0.073989509576332352,0.005468368545772883,0.14584432241046624,3.0253915818340217e-05,1.5200067498898457e-06,0.75797152091600417
0.012304687499999998,3.5601479993599949,-1.2188035635335684e-146,1573.0818464502165,0.2748326317585721,0.0059008569956457658,0.005000707686894903,0.0049020617181633232,0.073352293983467015,0.005586700757833696,0.14701208290286022,2.8727929201379914e-05,1.3873177236126872e-06,0.75821518070821015
0.012328124999999997,3.5942593635173954,-1.2188066697880356e-146,1588.5800348226501,0.2722243291693546,0.0055080527188359945,0.0047020422712661623,0.004789189404216819,0.07284586174296688,0.0056779041417674599,0.14799989770727437,2.7351479311131569e-05,1.2740764780697987e-06,0.75844842645788302
0.012351562499999996,3.6253680561684312,-1.2188098092831362e-146,1602.7528393691316,0.26988841653914913,0.0051846637171764007,0.0044177527746451072,0.0046644524023627641,0.072439760672576944,0.0057461226985788703,0.14884878255921158,2.6099974604355453e-05,1.176717491086335e-06,0.7586711884833528
0.012374999999999997,3.6538441636399153,-1.2188129818372379e-146,1615.759008744393,0.26778505052915097,0.0049127518829679504,0.004149702302994945,0.0045327043793771558,0.072110744662373605,0.005794980968700055,0.1495895014502657,2.4954274180826309e-05,1.0924351292895016e-06,0.75888356764401044
0.012398437499999998,3.6799969744508392,-1.2188164998281715e-146,1627.7317018248382,0.2658819696577686,0.0046792817700105791,0.0038985973487096061,0.0043975744912070182,0.071841225947063922,0.0058275899932667616,0.15024501051506758,2.3899366026919572e-05,1.0190032023821305e-06,0.75908580156544514
0.012421874999999997,3.7040857815290806,-1.2188200545178762e-146,1638.783025810136,0.26415285754972817,0.0044748215774486231,0.0036643851067930393,0.0042617193470940633,0.071617965771044123,0.005846586395410646,0.1508324166526549,2.292335510978731e-05,9.5464113272009432e-07,0.75927822715331206
0.012445312499999996,3.7263285963560171,-1.2188236489497339e-146,1649.0076584158821,0.26257610363208983,0.0042925573316194817,0.0034465371154362937,0.0041270497456775412,0.071431013219131312,0.005854189939171024,0.1513644924322127,2.2016698448387441e-05,8.9791438801682685e-07,0.75946124560391526
0.012468749999999997,3.7469090378234888,-1.2188272801809559e-146,1658.4856814452328,0.2611338662555855,0.0041275611675412379,0.0032442438305735409,0.0039949299225387992,0.071272860238512925,0.0058522750167022035,0.15185081851462656,2.1171652352229918e-05,8.4765229752308913e-07,0.75963529200485491
0.012515624999999997,3.7835627541404753,-1.2188346231396399e-146,1675.4115618363514,0.25860410064309264,0.0038385271523450658,0.002883277197498806,0.0037412837376573633,0.071025535491203218,0.005824797999922012,0.15270827893438849,1.9648121511304147e-05,7.6308854865727513e-07,0.75995788827692512
0.012562499999999997,3.8156358027072055,-1.2188421167049082e-146,1690.2599533884877,0.25643035487031746,0.0035858200281488816,0.0025717007634644975,0.0035041621787096858,0.070835241762133308,0.0057759577167286668,0.15345814411310457,1.8294685276351921e-05,6.9424916061467125e-07,0.76024998450327341
0.012609374999999997,3.8439009749184625,-1.2188500917412122e-146,1703.3748587108259,0.25454475778554864,0.0033599447394330973,0.0023020492330749834,0.0032843603369467531,0.070685171611222355,0.0057118862696516788,0.15412373040864816,1.7083664371744887e-05,6.372728529179978e-07,0.76051513646379831
